ID,DAY,RACE_NUMBER,RACE_NAME,RACE_TIME
d1r1,Tuesday,1,Skybet Supreme Novice Hurdle,13:20
d1r2,Tuesday,2,Arkle Challenge Trophy Novice Chase,14:00
d1r3,Tuesday,3,Fred Winter Juvenile Handicap Hurdle,14:40
d1r4,Tuesday,4,Ultima Handicap Chase,15:20
d1r5,Tuesday,5,Unibet Champion Hurdle Challenge Trophy,16:00
d1r6,Tuesday,6,Trustatrader Plate Handicap Chase,16:40
d1r7,Tuesday,7,Princess Royal National Hunt Challenge Cup Novice Handicap Chase,17:20
d2r1,Wednesday,1,Turners Novice Hurdle,13:20
d2r2,Wednesday,2,Brown Advisory Novice Chase,14:00
d2r3,Wednesday,3,Coral Cup Handicap Hurdle,14:40
d2r4,Wednesday,4,Glenfarclas Cross Country Chase,15:20
d2r5,Wednesday,5,BetMGM Queen Mother Champion Chase,16:00
d2r6,Wednesday,6,Debenhams Johnny Henderson Grand Annual Challenge Cup Handicap Chase,16:40
d2r7,Wednesday,7,The Weatherbys Champion Bumper,17:20
d3r1,Thursday,1,Ryanair Mares Novice Hurdle,13:20
d3r2,Thursday,2,Jack Richards Novice Limited Handicap Chase,14:00
d3r3,Thursday,3,Close Brothers Mares Hurdle,14:40
d3r4,Thursday,4,Paddy Power Stayers Hurdle,15:20
d3r5,Thursday,5,Ryanair Chase,16:00
d3r6,Thursday,6,Pertemps Network Final Handicap Hurdle,16:40
d3r7,Thursday,7,Rosconn Group Fulke Walwyn Kim Muir Challenge Cup Amateur Jockeys Handicap Chase,17:20
d4r1,Friday,1,Jcb Triumph Hurdle,13:20
d4r2,Friday,2,William Hill County Handicap Hurdle,14:00
d4r3,Friday,3,Mrs Paddy Power Mares Chase,14:40
d4r4,Friday,4,Albert Bartlett Novice Hurdle,15:20
d4r5,Friday,5,Boodles Cheltenham Gold Cup Chase,16:00
d4r6,Friday,6,The St Jamess Place Festival Challenge Cup,16:40
d4r7,Friday,7,Martin Pipe Conditional Jockeys Handicap Hurdle,17:20
